node1,node2,distance
泉橋,神明,807.0011074521148
泉橋,上野,285.6225331782645
泉橋,上野北,324.2418932336149
廻間,藤山台南,1336.2537369199301
廻間,藤山台,1002.6235264948891
廻間,坂下五丁目,839.6638398540297
廻間,高森台西,275.16411361904403
廻間,高森台四丁目,985.9425453639666
廻間,愛知学園前,1497.1152255817055
坂下六丁目,坂下二丁目,461.93975897872167
坂下六丁目,中部大学北,307.6223708758202
東野,南島,269.5074585182632
東野,東野新町,765.6594470130634
下津保育園北,春日井高校前,1969.6116843552848
下津保育園北,春日井高等養護学校,883.2420008739931
東山住宅前,東野新町,527.272876852722
ことぶき町,総合福祉センター前,414.2122635274644
ことぶき町,乙輪町,503.03090405349184
総合福祉センター前,篠木,479.40076513186636
総合福祉センター前,浅山町,575.2082371079714
総合福祉センター前,乙輪町,716.866586905415
篠木,東部中学校前,381.6923461989558
篠木,浅山町,745.1988684098225
篠木,東野口,714.7145814195278
東部中学校前,篠木六丁目,168.31862230942588
東部中学校前,東野新町,821.7255658949676
東部中学校前,東野口,749.883972306703
篠木六丁目,東野新町,812.4083110420886
如意申,柏原町2丁目,858.046331912212
稲口町,美濃町,465.43678703810485
稲口町,美濃町3丁目,627.5690947059336
美濃町,美濃町3丁目,234.08630739012503
新開町,さつき台児童遊園,779.9762851536522
さつき台児童遊園,天神社南,635.6380694925939
西町屋,南町屋,374.80281444414584
春日井高校前,柏井町四丁目サティ前,638.6194430708939
春日井高校前,下中公園,1803.5336676372308
春日井高校前,春日井高等養護学校,1870.5585572869416
松河戸交番北,松河戸住宅,372.47816483703684
松河戸交番北,下中公園,822.5069695212997
松河戸住宅,下中公園,746.2470597128357
松河戸住宅,柏井町四丁目サティ前,1396.8298997362508
松河戸住宅,勝川駅南,840.3520900084044
松河戸住宅,柏井町一丁目,965.2199920923781
松河戸住宅,八幡社前,1171.683615420888
八田町二丁目,上八田,392.6044466104839
八田町二丁目,六軒屋公民館,821.2722109675663
上八田,高山口,1746.7759129418278
上八田,六軒屋公民館,694.1094861022657
上八田,八田,651.1254459956522
高山口,西高山町,743.6320575057921
高山口,高山,340.63276008013014
高山口,八田,1678.595712498161
西高山町,前並町1丁目,436.78891639764765
西高山町,高山,674.9857634930178
西高山町,西部中学校,294.7728087430104
柏原町2丁目,柏井町四丁目サティ前,999.9465242606884
春日井市役所前,八事町,711.112055348559
春日井市役所前,弥生町2丁目,735.4891562979162
八事町,弥生町2丁目,350.4300984663816
八事町,春日井駅,574.8551690569185
八事町,乙輪町,630.4798814679846
八事町,春日井駅前,543.1218313641613
六軒屋4丁目,浅山町,623.0134787349249
六軒屋4丁目,六軒屋公民館,167.6933906014408
浅山町,東野口,540.9249381612716
岩野町1丁目,大手小学校南,449.9077839227497
自衛隊前,玉野台北,582.9245083306288
